year,siteID,miss,miss45
2006,AU-Dry,TRUE,TRUE
2007,AU-Dry,TRUE,TRUE
2011,AU-Emr,FALSE,FALSE
2012,AU-Emr,FALSE,FALSE
2013,AU-Emr,FALSE,FALSE
2001,AU-Emr,TRUE,TRUE
2002,AU-Emr,TRUE,TRUE
2003,AU-Emr,TRUE,TRUE
2004,AU-Emr,TRUE,TRUE
2005,AU-Emr,TRUE,TRUE
2006,AU-Emr,TRUE,TRUE
2007,AU-Emr,TRUE,TRUE
2008,AU-Emr,TRUE,TRUE
2009,AU-Emr,TRUE,TRUE
2010,AU-Emr,TRUE,TRUE
2014,AU-Emr,TRUE,TRUE
2006,AU-Fog,FALSE,FALSE
2007,AU-Fog,FALSE,FALSE
2008,AU-Fog,FALSE,FALSE
2001,AU-Fog,TRUE,TRUE
2002,AU-Fog,TRUE,TRUE
2003,AU-Fog,TRUE,TRUE
2004,AU-Fog,TRUE,TRUE
2005,AU-Fog,TRUE,TRUE
2009,AU-Fog,TRUE,TRUE
2010,AU-Fog,TRUE,TRUE
2011,AU-Fog,TRUE,TRUE
2012,AU-Fog,TRUE,TRUE
2013,AU-Fog,TRUE,TRUE
2014,AU-Fog,TRUE,TRUE
2011,AU-Gin,FALSE,FALSE
2012,AU-Gin,FALSE,FALSE
2013,AU-Gin,FALSE,FALSE
2014,AU-Gin,FALSE,FALSE
2001,AU-Gin,TRUE,TRUE
2002,AU-Gin,TRUE,TRUE
2003,AU-Gin,TRUE,TRUE
2004,AU-Gin,TRUE,TRUE
2005,AU-Gin,TRUE,TRUE
2006,AU-Gin,TRUE,TRUE
2007,AU-Gin,TRUE,TRUE
2008,AU-Gin,TRUE,TRUE
2009,AU-Gin,TRUE,TRUE
2010,AU-Gin,TRUE,TRUE
2013,AU-GWW,FALSE,FALSE
2014,AU-GWW,FALSE,FALSE
2001,AU-GWW,TRUE,TRUE
2002,AU-GWW,TRUE,TRUE
2003,AU-GWW,TRUE,TRUE
2004,AU-GWW,TRUE,TRUE
2005,AU-GWW,TRUE,TRUE
2006,AU-GWW,TRUE,TRUE
2007,AU-GWW,TRUE,TRUE
2008,AU-GWW,TRUE,TRUE
2009,AU-GWW,TRUE,TRUE
2010,AU-GWW,TRUE,TRUE
2011,AU-GWW,TRUE,TRUE
2012,AU-GWW,TRUE,TRUE
2001,AU-How,FALSE,FALSE
2002,AU-How,FALSE,FALSE
2003,AU-How,FALSE,FALSE
2004,AU-How,FALSE,FALSE
2005,AU-How,FALSE,FALSE
2006,AU-How,FALSE,FALSE
2007,AU-How,FALSE,FALSE
2008,AU-How,FALSE,FALSE
2009,AU-How,FALSE,FALSE
2010,AU-How,FALSE,FALSE
2011,AU-How,FALSE,FALSE
2012,AU-How,FALSE,FALSE
2013,AU-How,FALSE,FALSE
2014,AU-How,FALSE,FALSE
2008,AU-Lox,FALSE,FALSE
2009,AU-Lox,FALSE,FALSE
2001,AU-Lox,TRUE,TRUE
2002,AU-Lox,TRUE,TRUE
2003,AU-Lox,TRUE,TRUE
2004,AU-Lox,TRUE,TRUE
2005,AU-Lox,TRUE,TRUE
2006,AU-Lox,TRUE,TRUE
2007,AU-Lox,TRUE,TRUE
2010,AU-Lox,TRUE,TRUE
2011,AU-Lox,TRUE,TRUE
2012,AU-Lox,TRUE,TRUE
2013,AU-Lox,TRUE,TRUE
2014,AU-Lox,TRUE,TRUE
2011,AU-RDF,FALSE,FALSE
2012,AU-RDF,FALSE,FALSE
2013,AU-RDF,FALSE,FALSE
2001,AU-RDF,TRUE,TRUE
2002,AU-RDF,TRUE,TRUE
2003,AU-RDF,TRUE,TRUE
2004,AU-RDF,TRUE,TRUE
2005,AU-RDF,TRUE,TRUE
2006,AU-RDF,TRUE,TRUE
