"","site","year","f_gup_1","m_gup_1","f_gup_2","m_gup_2","f_midgup_1","m_midgup_1","f_midgup_2","m_midgup_2","f_maturity_1","m_maturity_1","f_maturity_2","m_maturity_2","f_peak_1","m_peak_1","f_peak_2","m_peak_2","f_sene_1","m_sene_1","f_sene_2","m_sene_2","f_midgdown_1","m_midgdown_1","f_midgdown_2","m_midgdown_2","f_dormancy_1","m_dormancy_1","f_dormancy_2","m_dormancy_2","f_gppmin_1","m_EVImin_1","f_gppmin_2","m_EVImin_2","f_gppamp_1","m_EVIamp_1","f_gppamp_2","m_EVIamp_2","f_gpparea_1","m_EVIarea_1","f_gpparea_2","m_EVIarea_2","IGBP","miss","miss45"
"14","AU-Ade","2009",14174,14205,NA,NA,14220,14241,NA,NA,14262,14280,NA,NA,14306,14304,NA,NA,14322,14326,NA,NA,14340,14357,NA,NA,14359,14429,NA,NA,2,0.189,NA,NA,8,0.2507,NA,NA,693.7,17.2,NA,NA,"WSA",FALSE,FALSE
"15","AU-DaP","2008",13797,13816,NA,NA,13843,13876,NA,NA,13892,13923,NA,NA,13954,13940,NA,NA,13969,13959,NA,NA,13990,13989,NA,NA,14013,14022,NA,NA,0,0.1758,NA,NA,10,0.5939,NA,NA,1140.9,41.8,NA,NA,"GRA",FALSE,FALSE
"16","AU-DaP","2009",14198,14204,NA,NA,14219,14233,NA,NA,14247,14269,NA,NA,14311,14303,NA,NA,14325,14326,NA,NA,14346,14349,NA,NA,14370,14393,NA,NA,0,0.1835,NA,NA,9,0.4551,NA,NA,832.9,32.1,NA,NA,"GRA",FALSE,FALSE
"17","AU-DaP","2010",14583,14594,NA,NA,14601,14618,NA,NA,14632,14652,NA,NA,14670,14671,NA,NA,14684,14687,NA,NA,14705,14723,NA,NA,14744,14762,NA,NA,0,0.1783,NA,NA,11,0.6368,NA,NA,736.8,33.7,NA,NA,"GRA",FALSE,FALSE
"18","AU-DaP","2011",14888,14892,NA,NA,NA,NA,15290,15305,15005,15013,NA,NA,15047,15044,NA,NA,15066,15069,NA,NA,15096,15102,NA,NA,NA,NA,15482,15486,0,0.176,NA,NA,8,0.4103,NA,NA,982,42.2,NA,NA,"GRA",FALSE,FALSE
"19","AU-DaP","2013",15645,15649,NA,NA,15661,15685,NA,NA,15710,15729,NA,NA,15737,15773,NA,NA,15772,15792,NA,NA,15810,15818,NA,NA,15835,15852,NA,NA,0,0.192,NA,NA,11,0.5803,NA,NA,768.2,50.6,NA,NA,"GRA",FALSE,FALSE
"20","AU-DaS","2008",13830,13801,NA,NA,13858,13850,NA,NA,13893,13909,NA,NA,13914,13931,NA,NA,13936,13945,NA,NA,13960,13962,NA,NA,14048,13984,NA,NA,2,0.2051,NA,NA,6,0.1702,NA,NA,324.5,14.4,NA,NA,"SAV",FALSE,FALSE
"21","AU-DaS","2009",14196,14134,NA,NA,14223,14231,NA,NA,14263,14258,NA,NA,14286,14277,NA,NA,14302,14295,NA,NA,14329,14322,NA,NA,14371,14351,NA,NA,2,0.2308,NA,NA,6,0.1671,NA,NA,354.4,10.5,NA,NA,"SAV",FALSE,FALSE
"22","AU-DaS","2010",14582,14526,NA,NA,14602,14620,NA,NA,14623,14641,NA,NA,14642,14654,NA,NA,14658,14671,NA,NA,14689,14702,NA,NA,14738,14741,NA,NA,2,0.249,NA,NA,5,0.1558,NA,NA,216.8,8.8,NA,NA,"SAV",FALSE,FALSE
"23","AU-DaS","2012",15236,15240,NA,NA,NA,NA,15659,15652,NA,NA,15685,15699,NA,NA,15702,15720,15390,15384,NA,NA,15410,15425,NA,NA,15481,15476,NA,NA,2,NA,NA,NA,7,NA,NA,NA,652.6,NA,NA,NA,"SAV",FALSE,FALSE
"24","AU-Dry","2010",14595,14536,NA,NA,14614,14620,NA,NA,14635,14646,NA,NA,14650,14659,NA,NA,14681,14675,NA,NA,14743,14710,NA,NA,14807,14778,NA,NA,1,0.2665,NA,NA,6,0.1067,NA,NA,213.7,6.2,NA,NA,"SAV",FALSE,FALSE
"25","AU-Emr","2012",15537,15514,NA,NA,15560,15544,NA,NA,15578,15568,NA,NA,15588,15581,NA,NA,15598,15595,NA,NA,15615,15612,NA,NA,15638,15632,NA,NA,0,0.196,NA,NA,4,0.1881,NA,NA,138,7.7,NA,NA,"GRA",FALSE,FALSE
"26","AU-How","2002",11593,11580,NA,NA,NA,NA,12010,12007,NA,NA,12029,12040,NA,NA,12044,12071,11780,11759,NA,NA,NA,NA,12165,12148,NA,NA,12214,12207,2,NA,2,NA,6,NA,8,NA,685.1,NA,304.7,NA,"WSA",FALSE,FALSE
"27","AU-How","2004",12329,12328,NA,NA,12354,12372,NA,NA,12482,12411,NA,NA,12498,12440,NA,NA,12516,12466,NA,NA,12559,12503,NA,NA,12642,12611,NA,NA,2,0.1887,NA,NA,5,0.3291,NA,NA,522.9,23.9,NA,NA,"WSA",FALSE,FALSE
"28","AU-How","2005",12704,12685,NA,NA,12743,12737,NA,NA,12791,12815,NA,NA,12811,12839,NA,NA,12839,12858,NA,NA,12879,12902,NA,NA,12946,12942,NA,NA,2,0.1916,NA,NA,8,0.2901,NA,NA,528.7,28.3,NA,NA,"WSA",FALSE,FALSE
"29","AU-How","2006",13050,13066,NA,NA,13101,13109,NA,NA,13163,13173,NA,NA,13197,13200,NA,NA,13218,13224,NA,NA,13271,13263,NA,NA,13346,13346,NA,NA,2,0.2341,NA,NA,7,0.2725,NA,NA,648,24.7,NA,NA,"WSA",FALSE,FALSE
"30","AU-How","2007",13504,13398,NA,NA,13517,13459,NA,NA,13535,13507,NA,NA,13551,13552,NA,NA,13567,13581,NA,NA,13638,13617,NA,NA,13684,13678,NA,NA,2,0.2041,NA,NA,6,0.3088,NA,NA,192.2,30.7,NA,NA,"WSA",FALSE,FALSE
"31","AU-How","2008",13802,13801,NA,NA,13872,13828,NA,NA,13894,13878,NA,NA,13944,13897,NA,NA,13959,13937,NA,NA,13980,13979,NA,NA,13997,14002,NA,NA,3,0.2791,NA,NA,5,0.1842,NA,NA,421.3,12.1,NA,NA,"WSA",FALSE,FALSE
"32","AU-How","2009",14176,14131,NA,NA,14211,14195,NA,NA,14255,14232,NA,NA,14280,14258,NA,NA,14301,14291,NA,NA,14338,14341,NA,NA,14380,14422,NA,NA,3,0.2952,NA,NA,6,0.1774,NA,NA,407.1,12.2,NA,NA,"WSA",FALSE,FALSE
"33","AU-How","2010",NA,NA,14867,14884,14564,14542,NA,NA,14623,14614,NA,NA,14639,14645,NA,NA,NA,NA,15021,15023,14709,14693,NA,NA,NA,NA,15125,15122,4,NA,NA,NA,7,NA,NA,NA,451.7,NA,NA,NA,"WSA",FALSE,FALSE
"34","AU-How","2011",15184,15184,NA,NA,15242,15255,NA,NA,15294,15310,NA,NA,15313,15346,NA,NA,15388,15369,NA,NA,15417,15423,NA,NA,15451,15462,NA,NA,2,0.2175,NA,NA,8,0.2705,NA,NA,620.2,27.6,NA,NA,"WSA",FALSE,FALSE
"35","AU-How","2013",15611,15610,NA,NA,15635,15634,NA,NA,15713,15688,NA,NA,15742,15738,NA,NA,15768,15765,NA,NA,15805,15805,NA,NA,15863,15860,NA,NA,2,0.1978,NA,NA,8,0.3063,NA,NA,765.8,30.1,NA,NA,"WSA",FALSE,FALSE
"36","AU-How","2014",NA,NA,16374,16365,NA,NA,16394,16392,NA,NA,16413,16425,16120,16125,NA,NA,16133,16139,NA,NA,16162,16164,NA,NA,16275,16265,NA,NA,3,0.2425,NA,NA,6,0.2565,NA,NA,490.3,23.8,NA,NA,"WSA",FALSE,FALSE
"37","AU-Lox","2008",14122,14098,NA,NA,14144,14124,NA,NA,14180,14148,NA,NA,14242,14217,NA,NA,14275,14247,NA,NA,14319,14327,NA,NA,14344,14353,NA,NA,1,0.2044,NA,NA,11,0.2803,NA,NA,1039.9,26.7,NA,NA,"DBF",FALSE,FALSE
"38","AU-RDF","2011",15257,15249,NA,NA,15277,15277,NA,NA,15300,15303,NA,NA,15315,15321,NA,NA,15334,15348,NA,NA,15412,15408,NA,NA,15439,15467,NA,NA,3,0.2609,NA,NA,5,0.1781,NA,NA,206.9,14.6,NA,NA,"WSA",FALSE,FALSE
"39","AU-RDF","2013",15668,15671,NA,NA,15685,15688,NA,NA,15701,15707,NA,NA,15712,15720,NA,NA,15724,15733,NA,NA,15742,15757,NA,NA,15760,15862,NA,NA,0,0.1457,NA,NA,7,0.2145,NA,NA,228.3,7,NA,NA,"WSA",FALSE,FALSE
"40","AU-Rig","2012",15548,15443,NA,NA,15576,15580,NA,NA,15597,15600,NA,NA,15609,15613,NA,NA,15623,15630,NA,NA,15639,15650,NA,NA,15653,15673,NA,NA,2,0.3336,NA,NA,5,0.1756,NA,NA,186.7,8.2,NA,NA,"GRA",FALSE,FALSE
"41","AU-Rig","2013",15866,15841,NA,NA,15929,15888,NA,NA,15958,15960,NA,NA,15972,15977,NA,NA,15984,15993,NA,NA,16003,16016,NA,NA,16023,16042,NA,NA,1,0.2118,NA,NA,8,0.41,NA,NA,466,33.1,NA,NA,"GRA",FALSE,FALSE
"42","AU-Rig","2014",16158,16160,NA,NA,16177,16178,NA,NA,16291,16200,NA,NA,16311,16218,NA,NA,16330,16260,NA,NA,16362,16369,NA,NA,16407,16389,NA,NA,0,0.1598,NA,NA,7,0.4334,NA,NA,794.8,17.9,NA,NA,"GRA",FALSE,FALSE
"43","AU-Stp","2010",14611,14621,NA,NA,14662,14665,NA,NA,14684,14689,NA,NA,14696,14701,NA,NA,14706,14715,NA,NA,14721,14734,NA,NA,14738,14758,NA,NA,0,0.1519,NA,NA,5,0.1574,NA,NA,252.5,7.1,NA,NA,"GRA",FALSE,FALSE
"44","AU-Stp","2011",14955,14957,NA,NA,14979,14985,NA,NA,15062,15013,NA,NA,15076,15041,NA,NA,15089,15068,NA,NA,15117,15153,NA,NA,15191,15202,NA,NA,0,0.12,NA,NA,4,0.172,NA,NA,371.3,10.3,NA,NA,"GRA",FALSE,FALSE
"45","AU-Stp","2013",15688,15748,NA,NA,15759,15763,NA,NA,15773,15781,NA,NA,15785,15793,NA,NA,15806,15809,NA,NA,15826,15838,NA,NA,15844,15868,NA,NA,0,0.1433,NA,NA,4,0.1582,NA,NA,154.5,5.3,NA,NA,"GRA",FALSE,FALSE
"46","AU-Tum","2001",11217,11296,NA,NA,11285,11338,NA,NA,11322,11400,NA,NA,11340,11442,NA,NA,11372,11453,NA,NA,11411,11469,NA,NA,11480,11481,NA,NA,4,0.2863,NA,NA,10,0.1428,NA,NA,715.5,14.2,NA,NA,"EBF",FALSE,FALSE
"47","BE-Bra","2001",11383,11402,NA,NA,11442,11436,NA,NA,11473,11472,NA,NA,11493,11497,NA,NA,11535,11534,NA,NA,11595,11616,NA,NA,11634,11649,NA,NA,1,0.1426,NA,NA,7,0.3178,NA,NA,416.9,20,NA,NA,"MF",FALSE,FALSE
"48","BE-Bra","2005",12826,12831,NA,NA,12908,12898,NA,NA,12971,12927,NA,NA,12986,12976,NA,NA,13009,13008,NA,NA,13046,13082,NA,NA,13098,13115,NA,NA,2,0.1985,NA,NA,5,0.2844,NA,NA,430.6,25.3,NA,NA,"MF",FALSE,FALSE
