siteID,site_name,site_desc,country,province_state,data_tier2015,data_start2015,data_end2015,lat,lon,elev_m,IGBP,MAT,MAP
CA-TPD,Ontario - Turkey Point Mature Deciduous,Mature Deciduous,Canada,Ontario,2,2012,2014,42.635328,-80.557731,260,DBF,8,1036
CG-Tch,Tchizalamou,savanna,Republic of the Congo,NA,2,2006,2009,-4.28917,11.65642,82,SAV,25.7,1150
CH-Cha,Chamau,grassland with wetland,Switzerland,NA,1,2005,2014,47.21022,8.41044,393,GRA,9.5,1136
CH-Cha,Chamau,grassland with wetland,Switzerland,NA,2,2005,2014,47.21022,8.41044,393,GRA,9.5,1136
CH-Dav,Davos,evergreen needleleaf forest,Switzerland,NA,1,1997,2014,46.81533,9.85591,1639,ENF,2.8,1062
CH-Dav,Davos,evergreen needleleaf forest,Switzerland,NA,2,1997,2014,46.81533,9.85591,1639,ENF,2.8,1062
CH-Fru,Früebüel,grassland with wetland,Switzerland,NA,1,2005,2014,47.11583,8.53778,982,GRA,7.2,1651
CH-Fru,Früebüel,grassland with wetland,Switzerland,NA,2,2005,2014,47.11583,8.53778,982,GRA,7.2,1651
CH-Lae,Laegern,mixed forest,Switzerland,NA,1,2004,2014,47.47808,8.365,689,MF,8.3,1100
CH-Lae,Laegern,mixed forest,Switzerland,NA,2,2004,2014,47.47808,8.365,689,MF,8.3,1100
CH-Oe1,Oensingen grassland,grassland with wetland,Switzerland,NA,1,2002,2008,47.28583,7.73194,450,GRA,9,1100
CH-Oe1,Oensingen grassland,grassland with wetland,Switzerland,NA,2,2002,2008,47.28583,7.73194,450,GRA,9,1100
CH-Oe2,Oensingen crop,cropland,Switzerland,NA,1,2004,2014,47.28631,7.73433,452,CRO,9.8,1155
CH-Oe2,Oensingen crop,cropland,Switzerland,NA,2,2004,2014,47.28631,7.73433,452,CRO,9.8,1155
CN-Cha,Changbaishan,mixed forest,China,NA,1,2003,2005,42.4025,128.0958,NA,MF,2.16,663.59
CN-Cha,Changbaishan,mixed forest,China,NA,2,2003,2005,42.4025,128.0958,NA,MF,2.16,663.59
CN-Cng,Changling,grassland with wetland,China,NA,1,2007,2010,44.5934,123.5092,NA,GRA,NA,NA
CN-Cng,Changling,grassland with wetland,China,NA,2,2007,2010,44.5934,123.5092,NA,GRA,NA,NA
CN-Dan,Dangxiong,grassland with wetland,China,NA,1,2004,2005,30.4978,91.0664,NA,GRA,-1.54,246.88
CN-Dan,Dangxiong,grassland with wetland,China,NA,2,2004,2005,30.4978,91.0664,NA,GRA,-1.54,246.88
CN-Din,Dinghushan,evergreen broadleaf forest,China,NA,1,2003,2005,23.1733,112.5361,NA,EBF,19.64,1618.1
CN-Din,Dinghushan,evergreen broadleaf forest,China,NA,2,2003,2005,23.1733,112.5361,NA,EBF,19.64,1618.1
CN-Du2,Duolun_grassland (D01),grassland with wetland,China,NA,1,2006,2008,42.0467,116.2836,NA,GRA,2.01,318.96
CN-Du2,Duolun_grassland (D01),grassland with wetland,China,NA,2,2006,2008,42.0467,116.2836,NA,GRA,2.01,318.96
CN-Du3,Duolun Degraded Meadow,"grassland with wetland, degraded meadow",China,NA,2,2009,2010,42.0551,116.2809,NA,GRA,NA,NA
CN-Ha2,Haibei Shrubland,"wetland, shrubland",China,NA,1,2003,2005,37.6086,101.3269,NA,WET,NA,NA
CN-Ha2,Haibei Shrubland,"wetland, shrubland",China,NA,2,2003,2005,37.6086,101.3269,NA,WET,NA,NA
CN-HaM,Haibei Alpine Tibet site,grassland with wetland,China,NA,1,2002,2004,37.37,101.18,NA,GRA,NA,NA
CN-HaM,Haibei Alpine Tibet site,grassland with wetland,China,NA,2,2002,2004,37.37,101.18,NA,GRA,NA,NA
CN-Qia,Qianyanzhou,evergreen needleleaf forest,China,NA,1,2003,2005,26.7414,115.0581,NA,ENF,18.95,1466.75
CN-Qia,Qianyanzhou,evergreen needleleaf forest,China,NA,2,2003,2005,26.7414,115.0581,NA,ENF,18.95,1466.75
CN-Sw2,Siziwang Grazed (SZWG),grassland with wetland,China,NA,1,2010,2012,41.7902,111.8971,NA,GRA,NA,NA
CN-Sw2,Siziwang Grazed (SZWG),grassland with wetland,China,NA,2,2010,2012,41.7902,111.8971,NA,GRA,NA,NA
CZ-BK1,Bily Kriz forest,evergeen needleleaf forest,Czech Republic,NA,1,2004,2008,49.50213,18.53686,875,ENF,6.7,1316
CZ-BK1,Bily Kriz forest,evergeen needleleaf forest,Czech Republic,NA,2,2004,2014,49.50213,18.53686,875,ENF,6.7,1316
CZ-BK2,Bily Kriz grassland,grassland with wetland,Czech Republic,NA,1,2004,2006,49.49443,18.54285,855,GRA,6.7,1316
CZ-BK2,Bily Kriz grassland,grassland with wetland,Czech Republic,NA,2,2004,2012,49.49443,18.54285,855,GRA,6.7,1316
CZ-wet,Trebon (CZECHWET),wetland,Czech Republic,NA,1,2006,2014,49.02465,14.77035,426,WET,7.7,604
CZ-wet,Trebon (CZECHWET),wetland,Czech Republic,NA,2,2006,2014,49.02465,14.77035,426,WET,7.7,604
DE-Akm,Anklam,wetland,Germany,NA,1,2009,2014,53.86617,13.68342,-1,WET,8.7,558
DE-Akm,Anklam,wetland,Germany,NA,2,2009,2014,53.86617,13.68342,-1,WET,8.7,558
DE-Geb,Gebesee,cropland,Germany,NA,1,2001,2014,51.1001,10.9143,161.5,CRO,8.5,470
DE-Geb,Gebesee,cropland,Germany,NA,2,2001,2014,51.1001,10.9143,161.5,CRO,8.5,470
DE-Gri,Grillenburg,grassland with wetland,Germany,NA,1,2004,2014,50.95004,13.51259,385,GRA,7.8,901
DE-Gri,Grillenburg,grassland with wetland,Germany,NA,2,2004,2014,50.95004,13.51259,385,GRA,7.8,901
DE-Hai,Hainich,deciduous broadleaf forest,Germany,NA,1,2000,2012,51.07917,10.453,430,DBF,8.3,720
DE-Hai,Hainich,deciduous broadleaf forest,Germany,NA,2,2000,2012,51.07917,10.453,430,DBF,8.3,720
DE-Kli,Klingenberg,cropland,Germany,NA,1,2004,2014,50.89306,13.52238,478,CRO,7.6,842
DE-Kli,Klingenberg,cropland,Germany,NA,2,2004,2014,50.89306,13.52238,478,CRO,7.6,842
DE-Lkb,Lackenberg,evergreen needleleaf forest,Germany,NA,1,2009,2013,49.09962,13.30467,1308,ENF,4,1599
DE-Lkb,Lackenberg,evergreen needleleaf forest,Germany,NA,2,2009,2013,49.09962,13.30467,1308,ENF,4,1599
DE-Lnf,Leinefelde,deciduous broadleaf forest,Germany,NA,2,2002,2012,51.32822,10.3678,451,DBF,6.96,894.6
DE-Obe,Oberbärenburg,evergreen needleleaf forest,Germany,NA,1,2008,2014,50.78666,13.72129,734,ENF,5.5,996
DE-Obe,Oberbärenburg,evergreen needleleaf forest,Germany,NA,2,2008,2014,50.78666,13.72129,734,ENF,5.5,996
DE-RuR,Rollesbroich,grassland with wetland,Germany,NA,1,2011,2014,50.62191,6.30413,514.7,GRA,7.7,1033
DE-RuR,Rollesbroich,grassland with wetland,Germany,NA,2,2011,2014,50.62191,6.30413,514.7,GRA,7.7,1033
DE-RuS,Selhausen Juelich,cropland,Germany,NA,1,2011,2014,50.86591,6.44717,102.755,CRO,10,700
DE-RuS,Selhausen Juelich,cropland,Germany,NA,2,2011,2014,50.86591,6.44717,102.755,CRO,10,700
DE-Seh,Selhausen,cropland,Germany,NA,1,2007,2010,50.87062,6.44965,103,CRO,9.9,693
DE-Seh,Selhausen,cropland,Germany,NA,2,2007,2010,50.87062,6.44965,103,CRO,9.9,693
DE-SfN,Schechenfilz Nord,wetland,Germany,NA,1,2012,2014,47.80639,11.3275,590,WET,8.6,1127
DE-SfN,Schechenfilz Nord,wetland,Germany,NA,2,2012,2014,47.80639,11.3275,590,WET,8.6,1127
DE-Spw,Spreewald,wetland,Germany,NA,1,2010,2014,51.89225,14.03369,61,WET,8.7,558
DE-Spw,Spreewald,wetland,Germany,NA,2,2010,2014,51.89225,14.03369,61,WET,8.7,558
DE-Tha,Tharandt,evergreen needleleaf forest,Germany,NA,1,1996,2014,50.96235,13.56516,385,ENF,8.2,843
DE-Tha,Tharandt,evergreen needleleaf forest,Germany,NA,2,1996,2014,50.96235,13.56516,385,ENF,8.2,843
DE-Zrk,Zarnekow,wetland,Germany,NA,2,2013,2014,53.87594,12.88901,0,WET,8.7,584
DK-Eng,Enghave,grassland with wetland,Denmark,NA,2,2005,2008,55.69053,12.19175,10,GRA,8,613
DK-Fou,Foulum,cropland,Denmark,NA,1,2005,2005,56.4842,9.58722,51,CRO,8,NA
DK-Fou,Foulum,cropland,Denmark,NA,2,2005,2005,56.4842,9.58722,51,CRO,8,NA
DK-NuF,Nuuk Fen,wetland,Greenland,NA,1,2008,2014,64.13083,-51.38611,50,WET,-1.4,750
DK-NuF,Nuuk Fen,wetland,Greenland,NA,2,2008,2014,64.13083,-51.38611,50,WET,-1.4,750
DK-Sor,Soroe,deciduous broadleaf forest,Denmark,NA,1,1996,2014,55.48587,11.64464,40,DBF,8.2,660
DK-Sor,Soroe,deciduous broadleaf forest,Denmark,NA,2,1996,2014,55.48587,11.64464,40,DBF,8.2,660
DK-ZaF,Zackenberg Fen,wetland,Denmark,NA,1,2008,2011,74.48143,-20.55452,38,WET,-9,211
DK-ZaF,Zackenberg Fen,wetland,Denmark,NA,2,2008,2011,74.48143,-20.55452,38,WET,-9,211
DK-ZaH,Zackenberg Heath,grassland with wetland,Denmark,NA,1,2000,2014,74.47328,-20.5503,38,GRA,-9,211
DK-ZaH,Zackenberg Heath,grassland with wetland,Denmark,NA,2,2000,2014,74.47328,-20.5503,38,GRA,-9,211
ES-Amo,Amoladeras,open shrubland,Spain,NA,2,2007,2012,36.83361,-2.25232,58,OSH,NA,0
ES-LgS,Laguna Seca,open shrubland,Spain,NA,1,2007,2009,37.09794,-2.96583,2267,OSH,NA,NA
ES-LgS,Laguna Seca,open shrubland,Spain,NA,2,2007,2009,37.09794,-2.96583,2267,OSH,NA,NA
ES-LJu,Llano de los Juanes,open shrubland,Spain,NA,2,2004,2013,36.92659,-2.75212,1600,OSH,16,400
ES-Ln2,Lanjaron-Salvage logging,"open shrubland, salvage logging",Spain,NA,1,2009,2009,36.9695,-3.47582,2249,OSH,NA,NA
ES-Ln2,Lanjaron-Salvage logging,"open shrubland, salvage logging",Spain,NA,2,2009,2009,36.9695,-3.47582,2249,OSH,NA,NA
FI-Hyy,Hyytiala,evergreen needleleaf forest,Finland,NA,1,1996,2014,61.84741,24.29477,181,ENF,3.8,709
FI-Hyy,Hyytiala,evergreen needleleaf forest,Finland,NA,2,1996,2014,61.84741,24.29477,181,ENF,3.8,709
FI-Jok,Jokioinen,cropland,Finland,NA,1,2000,2003,60.8986,23.51345,109,CRO,4.6,627
FI-Jok,Jokioinen,cropland,Finland,NA,2,2000,2003,60.8986,23.51345,109,CRO,4.6,627
FI-Let,Lettosuo,evergreen needleleaf forest,Finland,NA,2,2009,2012,60.64183,23.95952,119,ENF,NA,NA
FI-Lom,Lompolojankka,wetland,Finland,NA,1,2007,2009,67.99724,24.20918,274,WET,-1.4,484
FI-Lom,Lompolojankka,wetland,Finland,NA,2,2007,2009,67.99724,24.20918,274,WET,-1.4,484
FI-Sod,Sodankyla,evergreen needleleaf forest,Finland,NA,1,2001,2014,67.36239,26.63859,180,ENF,-1,500
FI-Sod,Sodankyla,evergreen needleleaf forest,Finland,NA,2,2001,2014,67.36239,26.63859,180,ENF,-1,500
FR-Fon,Fontainebleau-Barbeau,deciduous broadleaf forest,France,NA,1,2005,2014,48.47636,2.7801,103,DBF,10.2,720
FR-Fon,Fontainebleau-Barbeau,deciduous broadleaf forest,France,NA,2,2005,2014,48.47636,2.7801,103,DBF,10.2,720
FR-Gri,Grignon,cropland,France,NA,1,2004,2013,48.84422,1.95191,125,CRO,12,650
FR-Gri,Grignon,cropland,France,NA,2,2004,2014,48.84422,1.95191,125,CRO,12,650
FR-LBr,Le Bray,evergreen needleleaf forest,France,NA,1,1996,2008,44.71711,-0.7693,61,ENF,13.6,900
FR-LBr,Le Bray,evergreen needleleaf forest,France,NA,2,1996,2008,44.71711,-0.7693,61,ENF,13.6,900
FR-Pue,Puechabon,evergreen broadleaf forest,France,NA,1,2000,2014,43.7413,3.5957,270,EBF,13.5,883
FR-Pue,Puechabon,evergreen broadleaf forest,France,NA,2,2000,2014,43.7413,3.5957,270,EBF,13.5,883
GF-Guy,Guyaflux (French Guiana),evergreen broadleaf forest,French Guiana,NA,1,2004,2014,5.27877,-52.92486,48,EBF,25.7,3041
GF-Guy,Guyaflux (French Guiana),evergreen broadleaf forest,French Guiana,NA,2,2004,2014,5.27877,-52.92486,48,EBF,25.7,3041
GH-Ank,Ankasa,evergreen broadleaf forest,Ghana,NA,2,2011,2014,5.26854,-2.69421,124,EBF,26,1900
IT-BCi,Borgo Cioffi,cropland,Italy,NA,1,2004,2014,40.52375,14.95744,20,CRO,18,600
IT-BCi,Borgo Cioffi,cropland,Italy,NA,2,2004,2014,40.52375,14.95744,20,CRO,18,600
IT-CA1,Castel d'Asso1,deciduous broadleaf forest,Italy,NA,1,2011,2014,42.38041,12.02656,200,DBF,14,766
IT-CA1,Castel d'Asso1,deciduous broadleaf forest,Italy,NA,2,2011,2014,42.38041,12.02656,200,DBF,14,766
IT-CA2,Castel d'Asso2,cropland,Italy,NA,1,2011,2014,42.37722,12.02604,200,CRO,14,766
IT-CA2,Castel d'Asso2,cropland,Italy,NA,2,2011,2014,42.37722,12.02604,200,CRO,14,766
IT-CA3,Castel d'Asso3,deciduous broadleaf forest,Italy,NA,1,2011,2014,42.38,12.0222,197,DBF,14,766
IT-CA3,Castel d'Asso3,deciduous broadleaf forest,Italy,NA,2,2011,2014,42.38,12.0222,197,DBF,14,766
IT-Col,Collelongo,deciduous broadleaf forest,Italy,NA,1,1996,2014,41.84936,13.58814,1560,DBF,6.3,1180
IT-Col,Collelongo,deciduous broadleaf forest,Italy,NA,2,1996,2014,41.84936,13.58814,1560,DBF,6.3,1180
IT-Cp2,Castelporziano2,evergreen broadleaf forest,Italy,NA,1,2012,2014,41.70427,12.35729,19,EBF,15.2,805
IT-Cp2,Castelporziano2,evergreen broadleaf forest,Italy,NA,2,2012,2014,41.70427,12.35729,19,EBF,15.2,805
IT-Cpz,Castelporziano,evergreen broadleaf forest,Italy,NA,1,1997,2009,41.70525,12.37611,68,EBF,15.6,780
IT-Cpz,Castelporziano,evergreen broadleaf forest,Italy,NA,2,1997,2009,41.70525,12.37611,68,EBF,15.6,780
