site_name,year,gpp_var,f_gpparea_1,f_gppamp_1,f_gppmin_1,f_gup_1,f_midgup_1,f_maturity_1,f_peak_1,f_sene_1,f_midgdown_1,f_dormancy_1,f_qa_1,f_qadetailed_1,f_gpparea_2,f_gppamp_2,f_gppmin_2,f_gup_2,f_midgup_2,f_maturity_2,f_peak_2,f_sene_2,f_midgdown_2,f_dormancy_2,f_qa_2,f_qadetailed_2
IT-CA1,2012,GPP_DT_VUT_REF,387.6,11,1,15421,15453,15471,15481,15491,15506,15643,0,0,,,,,,,,,,,,
IT-CA2,2012,GPP_DT_VUT_REF,230.5,6,0,15384,15404,15425,15439,15452,15467,15480,0,0,,,,,,,,,,,,
IT-CA3,2012,GPP_DT_VUT_REF,377,6,0,15403,15433,15505,15518,15534,15625,15661,0,0,,,,,,,,,,,,
IT-Col,2012,GPP_DT_VUT_REF,581.7,12,0,15452,15479,15507,15525,15547,15614,15637,0,0,,,,,,,,,,,,
IT-Cp2,2012,GPP_DT_VUT_REF,432.1,6,4,15350,15398,15502,15517,15539,15587,15636,0,0,,,,,,,,,,,,
IT-Lav,2012,GPP_DT_VUT_REF,692.6,11,1,15395,15422,15472,15489,15557,15619,15646,0,0,,,,,,,,,,,,
IT-MBo,2012,GPP_DT_VUT_REF,500,12,0,15449,15474,15495,15509,15524,15598,15639,0,0,,,,,,,,,,,,
IT-Ren,2012,GPP_DT_VUT_REF,725.8,8,0,15398,15426,15484,15521,15550,15625,15662,0,0,,,,,,,,,,,,
IT-Ro2,2012,GPP_DT_VUT_REF,358.9,10,0,15444,15463,15482,15494,15508,15533,15665,0,0,,,,,,,,,,,,
IT-SRo,2012,GPP_DT_VUT_REF,478.1,7,3,15401,15449,15499,15513,15526,15554,15651,0,0,,,,,,,,,,,,
IT-Tor,2012,GPP_DT_VUT_REF,312.6,8,0,15474,15494,15515,15531,15561,15596,15628,0,0,,,,,,,,,,,,
NL-Loo,2012,GPP_DT_VUT_REF,854.2,9,1,15403,15460,15521,15552,15575,15612,15654,0,0,,,,,,,,,,,,
RU-Cok,2012,GPP_DT_VUT_REF,365.4,5,0,15399,15429,15454,15500,15539,15574,15597,0,0,,,,,,,,,,,,
RU-Fyo,2012,GPP_DT_VUT_REF,617.8,11,0,15437,15462,15505,15523,15539,15567,15640,0,0,,,,,,,,,,,,
SN-Dhr,2012,GPP_DT_VUT_REF,335.9,10,0,15519,15536,15555,15569,15587,15618,15641,0,0,,,,,,,,,,,,
US-AR1,2012,GPP_DT_VUT_REF,384,10,0,15411,15433,15451,15465,15484,15525,15559,0,0,,,,,,,,,,,,
US-ARM,2012,GPP_DT_VUT_REF,455.6,8,0,15352,15386,15416,15433,15447,15468,15485,0,0,,,,,,,,,,,,
US-GLE,2012,GPP_DT_VUT_REF,251.7,5,0,15467,15496,15520,15534,15552,15590,15623,0,0,,,,,,,,,,,,
US-Ha1,2012,GPP_DT_VUT_REF,595.9,14,0,15451,15480,15502,15518,15537,15598,15626,0,0,,,,,,,,,,,,
US-Me2,2012,GPP_DT_VUT_REF,698.5,8,2,15364,15443,15509,15525,15545,15587,15664,0,0,,,,,,,,,,,,
US-Me6,2012,GPP_DT_VUT_REF,311.2,5,1,15414,15454,15487,15506,15529,15558,15645,0,0,,,,,,,,,,,,
US-MMS,2012,GPP_DT_VUT_REF,441.1,11,0,15430,15453,15474,15489,15506,15600,15630,0,0,,,,,,,,,,,,
US-Myb,2012,GPP_DT_VUT_REF,1179.3,13,0,15440,15464,15517,15559,15597,15634,15665,0,0,,,,,,,,,,,,
US-Ne1,2012,GPP_DT_VUT_REF,768.8,23,0,15480,15497,15516,15529,15544,15567,15587,0,0,,,,,,,,,,,,
US-Ne2,2012,GPP_DT_VUT_REF,790.1,24,0,15480,15497,15516,15528,15541,15565,15586,0,0,,,,,,,,,,,,
US-Ne3,2012,GPP_DT_VUT_REF,423.7,10,0,15491,15513,15534,15550,15567,15588,15603,0,0,,,,,,,,,,,,
US-NR1,2012,GPP_DT_VUT_REF,590.8,7,0,15440,15461,15490,15553,15578,15613,15639,0,0,,,,,,,,,,,,
US-PFa,2012,GPP_DT_VUT_REF,512.3,9,0,15432,15469,15505,15525,15541,15567,15592,0,0,,,,,,,,,,,,
US-Prr,2012,GPP_DT_VUT_REF,178.6,5,0,15466,15486,15507,15520,15540,15584,15646,0,0,,,,,,,,,,,,
US-SRG,2012,GPP_DT_VUT_REF,210.5,5,0,15526,15543,15571,15586,15600,15619,15643,0,0,,,,,,,,,,,,
US-Ton,2012,GPP_DT_VUT_REF,226.8,6,0,15399,15436,15455,15466,15477,15500,15565,0,0,,,,,,,,,,,,
US-Tw1,2012,GPP_DT_VUT_REF,819.5,7,6,15393,15441,15474,15557,15582,15621,15693,0,0,,,,,,,,,,,,
US-Tw2,2012,GPP_DT_VUT_REF,456.1,14,1,15514,15531,15549,15561,15574,15598,15626,0,0,,,,,,,,,,,,
US-Twt,2012,GPP_DT_VUT_REF,504.2,13,0,15515,15536,15559,15571,15584,15610,15647,0,0,,,,,,,,,,,,
US-UMB,2012,GPP_DT_VUT_REF,585.4,12,0,15461,15478,15498,15524,15556,15598,15625,0,0,,,,,,,,,,,,
US-UMd,2012,GPP_DT_VUT_REF,553.1,12,0,15457,15480,15502,15521,15546,15598,15628,0,0,,,,,,,,,,,,
US-Var,2012,GPP_DT_VUT_REF,234.8,6,1,15398,15423,15444,15455,15466,15482,15496,0,0,,,,,,,,,,,,
US-WCr,2012,GPP_DT_VUT_REF,495,11,0,15464,15481,15508,15528,15548,15585,15609,0,0,,,,,,,,,,,,
AU-DaP,2013,GPP_DT_VUT_REF,768.2,11,0,15645,15661,15710,15737,15772,15810,15835,0,0,,,,,,,,,,,,
AU-How,2013,GPP_DT_VUT_REF,765.8,8,2,15611,15635,15713,15742,15768,15805,15863,0,0,,,,,,,,,,,,
AU-RDF,2013,GPP_DT_VUT_REF,228.3,7,0,15668,15685,15701,15712,15724,15742,15760,0,0,,,,,,,,,,,,
AU-Rig,2013,GPP_DT_VUT_REF,466,8,1,15866,15929,15958,15972,15984,16003,16023,0,0,,,,,,,,,,,,
AU-Stp,2013,GPP_DT_VUT_REF,154.5,4,0,15688,15759,15773,15785,15806,15826,15844,0,0,,,,,,,,,,,,
AU-Tum,2013,GPP_DT_VUT_REF,509.7,7,5,15914,15961,16003,16028,16135,16158,16204,0,0,,,,,,,,,,,,
BE-Bra,2013,GPP_DT_VUT_REF,659.9,10,0,15768,15805,15856,15872,15907,15958,16017,0,0,,,,,,,,,,,,
BE-Lon,2013,GPP_DT_VUT_REF,674.5,16,0,15807,15829,15854,15869,15889,15911,15928,0,0,,,,,,,,,,,,
BE-Vie,2013,GPP_DT_VUT_REF,983.6,11,1,15771,15820,15869,15910,15932,15977,16009,0,0,,,,,,,,,,,,
CH-Cha,2013,GPP_DT_VUT_REF,537.6,13,1,15765,15796,15818,15830,15841,15939,15997,0,0,,,,,,,,,,,,
CH-Dav,2013,GPP_DT_VUT_REF,226.2,6,0,15796,15815,15835,15852,15877,15980,16018,0,0,,,,,,,,,,,,
CH-Fru,2013,GPP_DT_VUT_REF,672.1,11,0,15799,15816,15837,15876,15908,15979,16024,0,0,,,,,,,,,,,,
CH-Lae,2013,GPP_DT_VUT_REF,687.6,12,0,15804,15829,15868,15885,15902,15973,16011,0,0,,,,,,,,,,,,
CH-Oe2,2013,GPP_DT_VUT_REF,651,13,1,15796,15823,15857,15870,15882,15909,15947,0,0,,,,,,,,,,,,
CZ-wet,2013,GPP_DT_VUT_REF,587.6,10,0,15817,15836,15888,15904,15921,15955,15990,0,0,,,,,,,,,,,,
DE-Akm,2013,GPP_DT_VUT_REF,975.7,14,0,15773,15842,15878,15898,15916,15954,15996,0,0,,,,,,,,,,,,
DE-Geb,2013,GPP_DT_VUT_REF,502.2,14,0,15826,15845,15865,15879,15894,15913,15932,0,0,,,,,,,,,,,,
DE-Gri,2013,GPP_DT_VUT_REF,840.8,11,0,15802,15818,15894,15907,15919,15956,16011,0,0,,,,,,,,,,,,
DE-Kli,2013,GPP_DT_VUT_REF,407.6,9,0,15812,15848,15874,15888,15899,15918,15947,0,0,,,,,,,,,,,,
DE-Lkb,2013,GPP_DT_VUT_REF,219.8,5,0,15817,15850,15873,15887,15903,15951,15998,0,0,,,,,,,,,,,,
DE-Obe,2013,GPP_DT_VUT_REF,793.8,12,0,15798,15836,15886,15903,15921,15950,16019,0,0,,,,,,,,,,,,
DE-RuR,2013,GPP_DT_VUT_REF,834.9,9,0,15794,15811,15830,15910,15924,15966,16013,0,0,,,,,,,,,,,,
DE-RuS,2013,GPP_DT_VUT_REF,845,16,0,15794,15813,15843,15864,15882,15905,15921,0,0,,,,,,,,,,,,
DE-SfN,2013,GPP_DT_VUT_REF,397.2,5,0,15777,15827,15893,15908,15922,15951,16011,0,0,,,,,,,,,,,,
DE-Spw,2013,GPP_DT_VUT_REF,636.8,12,0,15811,15835,15869,15889,15909,15958,15997,0,0,,,,,,,,,,,,
DE-Tha,2013,GPP_DT_VUT_REF,781.1,12,0,15799,15818,15875,15893,15910,15959,16014,0,0,,,,,,,,,,,,
DK-Sor,2013,GPP_DT_VUT_REF,756.2,16,0,15815,15836,15860,15880,15902,15945,15997,0,0,,,,,,,,,,,,
FI-Hyy,2013,GPP_DT_VUT_REF,541,11,0,15813,15837,15864,15884,15902,15955,15993,0,0,,,,,,,,,,,,
FI-Sod,2013,GPP_DT_VUT_REF,334.8,6,0,15820,15844,15878,15897,15927,15959,15986,0,0,,,,,,,,,,,,
FR-Fon,2013,GPP_DT_VUT_REF,676.6,13,0,15815,15841,15870,15892,15924,15965,16006,0,0,,,,,,,,,,,,
FR-Gri,2013,GPP_DT_VUT_REF,593.1,11,0,15788,15810,15835,15860,15875,15894,15909,0,0,,,,,,,,,,,,
IT-BCi,2013,GPP_DT_VUT_REF,645.2,7,3,15756,15809,15832,15899,15911,15942,16021,0,0,,,,,,,,,,,,
IT-CA1,2013,GPP_DT_VUT_REF,281.4,7,1,15792,15809,15831,15847,15861,15885,15920,0,0,,,,,,,,,,,,
IT-CA2,2013,GPP_DT_VUT_REF,477.5,12,0,15764,15785,15807,15821,15836,15858,15878,0,0,,,,,,,,,,,,
IT-CA3,2013,GPP_DT_VUT_REF,460.6,9,1,15769,15814,15837,15856,15882,15924,15988,0,0,,,,,,,,,,,,
IT-Col,2013,GPP_DT_VUT_REF,663.9,11,0,15800,15827,15876,15896,15925,15971,15999,0,0,,,,,,,,,,,,
IT-Cp2,2013,GPP_DT_VUT_REF,442.1,5,3,15733,15772,15831,15852,15864,15886,16022,0,0,,,,,,,,,,,,
IT-Isp,2013,GPP_DT_VUT_REF,653.4,13,0,15811,15833,15863,15879,15904,15967,16007,0,0,,,,,,,,,,,,
IT-Lav,2013,GPP_DT_VUT_REF,878.8,10,1,15763,15805,15858,15889,15909,15983,16018,0,0,,,,,,,,,,,,
IT-MBo,2013,GPP_DT_VUT_REF,391.6,11,0,15826,15846,15866,15878,15893,15936,16013,0,0,,,,,,,,,,,,
IT-Ren,2013,GPP_DT_VUT_REF,500.6,9,0,15797,15821,15850,15871,15943,15984,16016,0,0,,,,,,,,,,,,
IT-SR2,2013,GPP_DT_VUT_REF,595.9,8,3,15735,15803,15844,15872,15901,15947,16021,0,0,,,,,,,,,,,,
IT-Tor,2013,GPP_DT_VUT_REF,407.3,9,0,15857,15876,15901,15921,15940,15968,16009,0,0,,,,,,,,,,,,
NL-Loo,2013,GPP_DT_VUT_REF,861.1,11,1,15795,15843,15903,15921,15937,15969,16022,0,0,,,,,,,,,,,,
RU-Fyo,2013,GPP_DT_VUT_REF,592.7,10,0,15810,15831,15869,15893,15913,15961,16007,0,0,,,,,,,,,,,,
SN-Dhr,2013,GPP_DT_VUT_REF,165,6,3,15911,15927,15941,15950,15961,15977,15993,0,0,,,,,,,,,,,,
US-GLE,2013,GPP_DT_VUT_REF,288.5,5,0,15834,15858,15886,15907,15928,15962,15987,0,0,,,,,,,,,,,,
US-Me2,2013,GPP_DT_VUT_REF,690,9,1,15751,15794,15854,15874,15889,15927,16014,0,0,,,,,,,,,,,,
US-Me6,2013,GPP_DT_VUT_REF,248.6,5,1,15791,15820,15845,15863,15878,15903,16026,0,0,,,,,,,,,,,,
US-MMS,2013,GPP_DT_VUT_REF,556.9,12,0,15818,15834,15854,15878,15927,15972,16005,0,0,,,,,,,,,,,,
US-Myb,2013,GPP_DT_VUT_REF,708.2,8,0,15767,15814,15865,15896,15958,16005,16035,0,0,,,,,,,,,,,,
US-NR1,2013,GPP_DT_VUT_REF,541.2,7,0,15824,15840,15864,15922,15946,15980,16002,0,0,,,,,,,,,,,,
US-PFa,2013,GPP_DT_VUT_REF,421.8,8,0,15783,15854,15877,15895,15920,15953,16036,0,0,,,,,,,,,,,,
US-Syv,2013,GPP_DT_VUT_REF,491.6,10,0,15836,15859,15883,15901,15941,15966,15994,0,0,,,,,,,,,,,,
US-Tw1,2013,GPP_DT_VUT_REF,798.3,13,0,15825,15853,15892,15912,15932,15971,16053,0,0,,,,,,,,,,,,
US-Tw3,2013,GPP_DT_VUT_REF,1453,14,0,15701,15730,15818,15848,15864,15967,16011,0,0,,,,,,,,,,,,
US-Twt,2013,GPP_DT_VUT_REF,661.4,16,0,15839,15867,15888,15903,15918,15946,15971,0,0,,,,,,,,,,,,
US-UMB,2013,GPP_DT_VUT_REF,455.9,11,0,15836,15855,15876,15893,15925,15969,15996,0,0,,,,,,,,,,,,
US-UMd,2013,GPP_DT_VUT_REF,491.3,12,0,15832,15853,15875,15892,15919,15974,16001,0,0,,,,,,,,,,,,
US-Var,2013,GPP_DT_VUT_REF,382.9,6,0,15662,15750,15779,15793,15804,15821,15837,0,0,,,,,,,,,,,,
US-WCr,2013,GPP_DT_VUT_REF,588.5,12,0,15817,15853,15880,15897,15938,15963,15983,0,0,,,,,,,,,,,,
AU-How,2014,GPP_DT_VUT_REF,490.3,6,3,16006,16034,16069,16120,16133,16162,16275,0,0,224.3,6,3,16374,16394,16413,16426,16439,16514,16541,0,0
AU-Rig,2014,GPP_DT_VUT_REF,794.8,7,0,16158,16177,16291,16311,16330,16362,16407,0,0,,,,,,,,,,,,
BE-Bra,2014,GPP_DT_VUT_REF,631.2,8,1,16114,16169,16218,16238,16278,16336,16376,0,0,,,,,,,,,,,,
BE-Lon,2014,GPP_DT_VUT_REF,258.8,9,0,16199,16215,16230,16240,16249,16265,16283,0,0,,,,,,,,,,,,
BE-Vie,2014,GPP_DT_VUT_REF,691.6,10,1,16121,16166,16222,16238,16259,16337,16374,0,0,,,,,,,,,,,,
CH-Cha,2014,GPP_DT_VUT_REF,1249.6,12,2,16119,16152,16252,16271,16288,16345,16373,0,0,,,,,,,,,,,,
CH-Dav,2014,GPP_DT_VUT_REF,290.6,6,0,16143,16172,16201,16222,16275,16352,16395,0,0,,,,,,,,,,,,
CH-Fru,2014,GPP_DT_VUT_REF,530.8,11,0,16145,16166,16198,16213,16291,16354,16379,0,0,,,,,,,,,,,,
CH-Lae,2014,GPP_DT_VUT_REF,539.9,9,0,16111,16181,16209,16224,16312,16344,16368,0,0,,,,,,,,,,,,
CH-Oe2,2014,GPP_DT_VUT_REF,729.9,15,0,16133,16166,16194,16210,16226,16246,16263,0,0,,,,,,,,,,,,
CZ-wet,2014,GPP_DT_VUT_REF,425.7,9,0,16180,16204,16229,16248,16270,16309,16355,0,0,,,,,,,,,,,,
DE-Akm,2014,GPP_DT_VUT_REF,637.2,11,0,16177,16202,16228,16257,16281,16315,16377,0,0,,,,,,,,,,,,
DE-Geb,2014,GPP_DT_VUT_REF,633.6,13,0,16145,16169,16197,16215,16229,16249,16265,0,0,,,,,,,,,,,,
DE-Gri,2014,GPP_DT_VUT_REF,1097.3,12,1,16136,16167,16254,16270,16286,16347,16389,0,0,,,,,,,,,,,,
DE-Kli,2014,GPP_DT_VUT_REF,707.4,15,0,16144,16169,16196,16214,16228,16247,16269,0,0,,,,,,,,,,,,
DE-Obe,2014,GPP_DT_VUT_REF,1163.5,11,0,16122,16163,16241,16278,16296,16319,16363,0,0,,,,,,,,,,,,
DE-RuR,2014,GPP_DT_VUT_REF,927,8,1,16129,16158,16190,16280,16292,16350,16386,0,0,,,,,,,,,,,,
DE-RuS,2014,GPP_DT_VUT_REF,402.5,13,1,16207,16222,16238,16251,16286,16331,16351,0,0,,,,,,,,,,,,
DE-Spw,2014,GPP_DT_VUT_REF,806.1,12,0,16162,16195,16241,16261,16284,16323,16359,0,0,,,,,,,,,,,,
DE-Tha,2014,GPP_DT_VUT_REF,812.5,11,1,16120,16163,16225,16241,16278,16327,16387,0,0,,,,,,,,,,,,
DK-Sor,2014,GPP_DT_VUT_REF,867.8,17,0,16131,16190,16215,16230,16246,16321,16361,0,0,,,,,,,,,,,,
FI-Hyy,2014,GPP_DT_VUT_REF,639.8,10,0,16165,16204,16242,16265,16287,16327,16359,0,0,,,,,,,,,,,,
FI-Sod,2014,GPP_DT_VUT_REF,330.7,7,0,16196,16221,16253,16269,16292,16326,16350,0,0,,,,,,,,,,,,
FR-Fon,2014,GPP_DT_VUT_REF,747.5,10,0,16163,16222,16281,16297,16313,16347,16377,0,0,,,,,,,,,,,,
IT-BCi,2014,GPP_DT_VUT_REF,373.8,7,2,16075,16120,16154,16168,16179,16192,16202,0,0,204.9,5,4,16224,16244,16279,16290,16299,16350,16401,0,0
IT-CA1,2014,GPP_DT_VUT_REF,581.5,7,1,16116,16172,16253,16270,16293,16336,16364,0,0,,,,,,,,,,,,
IT-CA2,2014,GPP_DT_VUT_REF,496.2,7,1,15988,16117,16141,16162,16189,16209,16225,0,0,,,,,,,,,,,,
IT-CA3,2014,GPP_DT_VUT_REF,853.3,12,1,16165,16191,16216,16257,16308,16337,16369,0,0,,,,,,,,,,,,
IT-Col,2014,GPP_DT_VUT_REF,816.2,14,0,16193,16214,16242,16273,16292,16343,16369,0,0,,,,,,,,,,,,
IT-Cp2,2014,GPP_DT_VUT_REF,565.1,6,3,16107,16133,16233,16253,16274,16357,16400,0,0,,,,,,,,,,,,
IT-Isp,2014,GPP_DT_VUT_REF,723.5,12,0,16154,16182,16219,16239,16269,16340,16373,0,0,,,,,,,,,,,,
IT-Lav,2014,GPP_DT_VUT_REF,844.1,10,2,16124,16152,16203,16239,16254,16357,16375,0,0,,,,,,,,,,,,
IT-SR2,2014,GPP_DT_VUT_REF,964.7,8,2,16118,16155,16230,16279,16298,16346,16371,0,0,,,,,,,,,,,,
IT-Tor,2014,GPP_DT_VUT_REF,480.9,10,0,16203,16224,16251,16271,16291,16327,16371,0,0,,,,,,,,,,,,
RU-Fyo,2014,GPP_DT_VUT_REF,594.6,11,0,16158,16196,16225,16244,16263,16322,16357,0,0,,,,,,,,,,,,
US-GLE,2014,GPP_DT_VUT_REF,328.8,5,0,16201,16235,16277,16294,16309,16337,16371,0,0,,,,,,,,,,,,
US-Me2,2014,GPP_DT_VUT_REF,621.3,9,2,16144,16174,16224,16247,16265,16292,16373,0,0,,,,,,,,,,,,
US-Me6,2014,GPP_DT_VUT_REF,315.7,6,0,16138,16183,16212,16229,16244,16270,16382,0,0,,,,,,,,,,,,
US-MMS,2014,GPP_DT_VUT_REF,593.4,14,0,16188,16206,16230,16249,16285,16337,16363,0,0,,,,,,,,,,,,
US-Myb,2014,GPP_DT_VUT_REF,507.5,9,0,16154,16181,16209,16235,16257,16308,16360,0,0,,,,,,,,,,,,
US-NR1,2014,GPP_DT_VUT_REF,366,6,0,16191,16210,16236,16266,16313,16351,16377,0,0,,,,,,,,,,,,
US-PFa,2014,GPP_DT_VUT_REF,334.2,7,0,16193,16223,16248,16266,16282,16316,16353,0,0,,,,,,,,,,,,
US-SRG,2014,GPP_DT_VUT_REF,127.1,5,0,16251,16266,16281,16291,16302,16331,16376,0,0,,,,,,,,,,,,
US-Syv,2014,GPP_DT_VUT_REF,555.9,13,0,16202,16225,16250,16267,16284,16323,16353,0,0,,,,,,,,,,,,
US-Ton,2014,GPP_DT_VUT_REF,246.9,7,0,16134,16152,16173,16186,16198,16221,16257,0,0,,,,,,,,,,,,
US-Tw1,2014,GPP_DT_VUT_REF,567.6,10,1,16185,16212,16245,16265,16294,16350,16399,0,0,,,,,,,,,,,,
US-Tw3,2014,GPP_DT_VUT_REF,451.8,13,0,16128,16146,16167,16180,16266,16308,16322,0,0,,,,,,,,,,,,
US-Tw4,2014,GPP_DT_VUT_REF,250,5,0,16235,16266,16289,16304,16320,16371,16409,0,0,,,,,,,,,,,,
US-Twt,2014,GPP_DT_VUT_REF,626.8,16,0,16215,16238,16259,16273,16289,16314,16343,0,0,,,,,,,,,,,,
US-UMB,2014,GPP_DT_VUT_REF,546.7,13,0,16201,16220,16243,16262,16286,16334,16359,0,0,,,,,,,,,,,,
US-UMd,2014,GPP_DT_VUT_REF,499.9,12,0,16203,16222,16243,16260,16278,16332,16361,0,0,,,,,,,,,,,,
US-Var,2014,GPP_DT_VUT_REF,308.5,8,0,16115,16134,16155,16170,16183,16199,16214,0,0,,,,,,,,,,,,
US-WCr,2014,GPP_DT_VUT_REF,555.3,14,0,16207,16223,16242,16262,16289,16320,16342,0,0,,,,,,,,,,,,
